Product ID,Product Name,Product SKU,Variation Name,Variation SKU,Location ID,Location Name,Calculated Qty,Actual Qty,Difference,Percent Diff,Unit Cost,Value Impact,Transaction Count,Severity
1272,"2 DOOR DRAWER WITH LOCK 4 ADJUSTABLE SHELVES","FCA18","Default","FCA18",2,"Main Warehouse",32,17,15,88.24,10835,162525.00,4,CRITICAL
343,"ADATA 512GB 2.5 SSD","4711085931528","Default","4711085931528",2,"Main Warehouse",54,31,23,74.19,1980,45540.00,8,CRITICAL
306,"1826DJNTY LEATHERETTE EXECUTIVE CHAIR","1826DJNTY","Default","1826DJNTY",2,"Main Warehouse",2,1,1,100.00,5100,5100.00,2,CRITICAL
824,"1048AJNSX HIGH BACK MESH CHAIR WITH HEAD REST","1048AJNSX","Default","1048AJNSX",2,"Main Warehouse",2,1,1,100.00,4150,4150.00,2,CRITICAL
343,"ADATA 512GB 2.5 SSD","4711085931528","Default","4711085931528",1,"Main Store",2,4,-2,50.00,1980,3960.00,5,CRITICAL
1507,"A4TECH F1010 KBM COMBO GREY","4711421943239","Default","4711421943239",1,"Main Store",-1,0,-1,100.00,740,740.00,1,CRITICAL
787,"7 PORTS USB HUB 3.0","4512487665321","Default","4512487665321",4,"Tuguegarao",0,1,-1,100.00,590,590.00,2,CRITICAL
1504,"A4TECH FKS11 KB MINI GREY","4711421960458","Default","4711421960458",1,"Main Store",0,1,-1,100.00,490,490.00,2,CRITICAL
786,"303 4PORTS USB HUB 3.0","6908620061125","Default","6908620061125",4,"Tuguegarao",0,1,-1,100.00,430,430.00,2,CRITICAL
343,"ADATA 512GB 2.5 SSD","4711085931528","Default","4711085931528",4,"Tuguegarao",12,13,-1,7.69,1980,1980.00,2,MINOR
