Item Code,New Selling Price
198122356294,64990
198415247834,69990
198415248145,64990
198415247810,60990
198990108551,31990
199485759616,40990
197961139198,22990
DQ3041TU,24990
FC0274AU,28990
198415337801,45990
198415337979,54990
198828865878,53990
199251136931,55990
199251136900,32990
199251136924,48990
199485881928,38990
198415073136,116990
199251193507,82990
199251136818,62990
198828276223,52990
198990741185,46990
197497603170,52990
EG3126TU,56990
198828865892,69990
198415247797,70990
198415248480,64990
198415248503,86990
199642816466,64990
198990358932,57990
FA2729TX,61990
197029834126,71990
198122947522,89990
197497603408,69990
377794947713,82990
